Model Year_x,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,weight_x,實際碳排,實際挑選,預測碳排,預測挑選
2022,Honda,Accord Sport/Touring,Full-size,2,4,AS10,3444,211,0,212.89659,0
2022,Honda,Accord Sport/Touring,Full-size,1.5,4,AV7,3272,176,0,211.81993,0
2022,BMW,Alpina B7,Full-size,4.4,8,AS8,4722,279,0,329.42166,0
2022,BMW,Alpina B8 Gran Coupe,Mid-size,4.4,8,AS8,4831,279,0,335.78882,0
2022,BMW,Alpina XB7,SUV: Standard,4.4,8,AS8,5860,321,0,324.67154,0
2022,Nissan,Altima AWD,Mid-size,2.5,4,AV,3244,186,0,167.00745,0
2022,Nissan,Altima AWD SR/Platinum,Mid-size,2.5,4,AV,3492,190,0,195.71346,0
2022,Mercedes-Benz,AMG A 35 4MATIC Hatch,Station wagon: Small,2,4,AM7,3446,221,0,212.89659,0
2022,Mercedes-Benz,AMG A 35 4MATIC Sedan,Subcompact,2,4,AM7,3479,221,0,182.27016,0
2022,Mercedes-Benz,AMG C 43 4MATIC Cabriolet,Subcompact,3,6,A9,4204,256,0,296.72018,1
2022,Mercedes-Benz,AMG C 43 4MATIC Coupe,Subcompact,3,6,A9,3913,252,0,290.55237,0
2022,Mercedes-Benz,AMG CLA 35 4MATIC Coupe,Compact,2,4,AM7,3505,227,0,228.38684,0
2022,Mercedes-Benz,AMG CLA 45 4MATIC Coupe,Compact,2,4,AM8,3660,243,0,216.68365,0
2022,Mercedes-Benz,AMG CLS 53 4MATIC+ Coupe,Compact,3,6,A9,4416,241,0,277.42676,0
2022,Mercedes-Benz,AMG E 53 4MATIC+ Cabriolet,Subcompact,3,6,A9,4566,247,0,302.4257,0
2022,Mercedes-Benz,AMG E 53 4MATIC+ Coupe,Subcompact,3,6,A9,4429,239,0,286.6415,0
2022,Mercedes-Benz,AMG E 53 4MATIC+ Sedan,Mid-size,3,6,A9,4429,232,0,286.6415,0
2022,Mercedes-Benz,AMG GLA 35 4MATIC SUV,Station wagon: Small,2,4,AM8,3653,230,0,217.17262,0
2022,Mercedes-Benz,AMG GLA 45 4MATIC SUV,Station wagon: Small,2,4,AM8,3913,260,1,235.2564,1
2022,Mercedes-Benz,AMG GLB 35 4MATIC SUV,Station wagon: Mid-size,2,4,AM8,3869,262,0,228.97139,0
2022,Mercedes-Benz,AMG GLC 43 4MATIC Coupe,SUV: Small,3,6,A9,4233,287,1,297.50525,1
2022,Mercedes-Benz,AMG GLC 43 4MATIC SUV,SUV: Small,3,6,A9,4235,264,0,297.50525,1
2022,Mercedes-Benz,AMG GLE 53 4MATIC+ Coupe,SUV: Standard,3,6,A9,5082,292,0,286.59396,0
2022,Mercedes-Benz,AMG GLE 53 4MATIC+ SUV,SUV: Standard,3,6,A9,5082,283,0,286.59396,0
2022,Mercedes-Benz,AMG GT 53 4MATIC+ Coupe,Compact,3,6,A9,4553,258,0,297.27036,0
2022,Nissan,Armada 4WD,SUV: Standard,5.6,8,AS7,5749,362,1,351.43488,1
2022,Subaru,Ascent AWD,SUV: Standard,2.4,4,AV8,4603,245,0,189.94554,0
2022,Volkswagen,Atlas 4MOTION,SUV: Small,3.6,6,AS8,4605,286,0,292.19376,0
2022,Volkswagen,Atlas 4MOTION,SUV: Small,2,4,AS8,4451,249,0,246.93617,0
2022,Volkswagen,Atlas Cross Sport 4MOTION,SUV: Small,3.6,6,AS8,4464,275,0,285.372,0
2022,Volkswagen,Atlas Cross Sport 4MOTION,SUV: Small,2,4,AS8,4308,252,0,231.5132,0
2022,Lamborghini,Aventador Countach,Two-seater,6.5,12,AM7,3516,489,0,435.07547,0
2022,Lamborghini,Aventador Coupe,Two-seater,6.5,12,AM7,3615,498,0,454.7025,0
2022,Lamborghini,Aventador Roadster,Two-seater,6.5,12,AM7,3852.5,498,0,415.93076,0
2022,Lincoln,Aviator AWD,SUV: Standard,3,6,AS10,4862,280,0,275.949,0
2022,Bentley,Bentayga,SUV: Standard,4,8,AS8,5324,309,0,321.45523,0
2022,Bentley,Bentayga Speed,SUV: Standard,6,12,AS8,5264,383,0,363.70468,0
2022,Chevrolet,Blazer,SUV: Small,3.6,6,A9,3907,252,0,298.00162,1
2022,Chevrolet,Blazer,SUV: Small,2,4,A9,3907,221,0,235.2564,0
2022,Chevrolet,Blazer AWD,SUV: Small,3.6,6,A9,3907,259,0,298.00162,1
2022,Chevrolet,Blazer AWD,SUV: Small,2,4,A9,3907,232,0,235.2564,0
2022,Ford,Bronco 4WD,SUV: Small,2.7,6,AS10,4286,291,1,287.74033,0
2022,Ford,Bronco 4WD,SUV: Small,2.3,4,M7,4286,277,0,245.61928,0
2022,Ford,Bronco 4WD,SUV: Small,2.3,4,AS10,4286,275,0,245.61928,0
2022,Ford,Bronco Badlands 4WD,SUV: Small,2.3,4,M7,4705,336,1,267.69086,0
2022,Ford,Bronco Badlands 4WD,SUV: Small,2.7,6,AS10,4705,331,0,298.0269,0
2022,Ford,Bronco Badlands 4WD,SUV: Small,2.3,4,AS10,4705,323,0,267.69086,0
2022,Ford,Bronco Black Diamond 4WD,SUV: Small,2.3,4,M7,4587,310,0,232.6528,0
2022,Ford,Bronco Black Diamond 4WD,SUV: Small,2.3,4,AS10,4587,308,0,232.6528,0
2022,Ford,Bronco Sasquatch 4WD,SUV: Small,2.7,6,AS10,4580,331,0,309.85724,0
2022,Ford,Bronco Sasquatch 4WD,SUV: Small,2.3,4,M7,4467,317,0,261.26385,0
2022,Ford,Bronco Sasquatch 4WD,SUV: Small,2.3,4,AS10,4497,314,0,256.5581,0
2022,Ford,Bronco Sport 4WD,SUV: Small,2,4,AS8,3467,240,0,215.29953,0
2022,Ford,Bronco Sport 4WD,SUV: Small,1.5,3,A8,3467,209,0,201.55017,0
2022,Subaru,BRZ,Minicompact,2.4,4,M6,2835,247,1,236.6207,1
2022,Subaru,BRZ,Minicompact,2.4,4,AS6,2881,224,0,222.32129,0
2022,Mercedes-Benz,C 300 4MATIC Cabriolet,Subcompact,2,4,A9,3979,224,0,220.84071,0
2022,Mercedes-Benz,C 300 4MATIC Coupe,Subcompact,2,4,A9,3583,217,0,215.20557,0
2022,Chevrolet,Camaro,Subcompact,3.6,6,M6,3351,281,1,286.31964,0
2022,Chevrolet,Camaro,Subcompact,3.6,6,AS10,3351,251,0,286.31964,0
2022,Chevrolet,Camaro,Subcompact,2,4,M6,3351,239,0,223.17159,0
2022,Chevrolet,Camaro,Subcompact,2,4,AS8,3351,222,0,223.17159,0
2022,Chevrolet,Camaro SS,Subcompact,6.2,8,M6,3686,296,1,296.7591,1
2022,Chevrolet,Camaro SS,Subcompact,6.2,8,AS10,3686,281,1,296.7591,1
2022,Chevrolet,Camaro ZL1,Subcompact,6.2,8,AS10,3907,355,1,350.022,1
2022,Chevrolet,Camaro ZL1,Subcompact,6.2,8,M6,3907,349,1,350.022,1
2022,Toyota,Camry AWD SE,Mid-size,2.5,4,AS8,3745,192,0,228.03223,0
2022,Toyota,Camry AWD XSE,Mid-size,2.5,4,AS8,3580,195,0,181.04953,0
2022,Toyota,Camry Hybrid LE,Mid-size,2.5,4,AV,3480,113,0,181.9758,0
2022,Toyota,Camry Hybrid SE/XLE/XSE,Mid-size,2.5,4,AV,3535,121,0,205.40747,0
2022,Toyota,Camry LE/SE,Mid-size,2.5,4,AS8,3310,174,0,164.90384,0
2022,Toyota,Camry TRD,Mid-size,3.5,6,AS8,3575,220,0,261.8089,0
2022,Toyota,Camry XSE,Mid-size,2.5,4,AS8,3425,178,0,197.2102,0
2022,Toyota,Camry XSE V6,Mid-size,3.5,6,AS8,3585,215,0,267.49567,0
2022,GMC,Canyon,Pickup truck: Small,2.8,4,A6,3938,270,0,266.53357,0
2022,GMC,Canyon,Pickup truck: Small,3.6,6,A8,4050,263,0,308.73654,0
2022,GMC,Canyon,Pickup truck: Small,2.5,4,A6,3845,257,0,180.8851,0
2022,GMC,Canyon 4WD,Pickup truck: Small,3.6,6,A8,4355,283,0,297.0958,0
2022,GMC,Canyon 4WD,Pickup truck: Small,2.8,4,A6,4154,283,0,264.52206,0
2022,GMC,Canyon 4WD,Pickup truck: Small,2.5,4,A6,4102,267,0,230.83351,0
2022,Kia,Carnival,Minivan,3.5,6,AS8,4535,252,0,287.07022,0
2022,Porsche,Cayenne,SUV: Standard,3,6,AS8,4582,289,0,309.1764,0
2022,Porsche,Cayenne Coupe,SUV: Standard,3,6,AS8,4663,289,0,303.2085,0
2022,Porsche,Cayenne GTS,SUV: Standard,4,8,AS8,4728,331,0,344.99142,0
2022,Porsche,Cayenne GTS Coupe,SUV: Standard,4,8,AS8,4932,326,0,323.21164,0
2022,Porsche,Cayenne S,SUV: Standard,2.9,6,AS8,4453,307,0,288.54956,0
2022,Porsche,Cayenne S Coupe,SUV: Standard,2.9,6,AS8,4725,305,0,292.18884,0
2022,Porsche,Cayenne Turbo,SUV: Standard,4,8,AS8,4795,343,0,324.3252,0
2022,Porsche,Cayenne Turbo Coupe,SUV: Standard,4,8,AS8,4850,330,0,352.7124,0
2022,Porsche,Cayenne Turbo GT,SUV: Standard,4,8,AS8,5000,345,0,301.2169,0
2022,Dodge,Challenger,Mid-size,6.4,8,M6,3841,325,0,314.3578,0
2022,Dodge,Challenger,Mid-size,5.7,8,M6,3841,307,0,301.88852,0
2022,Dodge,Challenger,Mid-size,3.6,6,A8,3841,242,0,276.5728,0
2022,Dodge,Challenger (MDS),Mid-size,6.4,8,A8,4233,305,0,320.47958,0
2022,Dodge,Challenger (MDS),Mid-size,5.7,8,A8,4182,289,0,304.02567,0
2022,Dodge,Challenger AWD,Mid-size,3.6,6,A8,3841,258,0,276.5728,0
2022,Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,M6,4422,352,1,344.0083,1
2022,Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,A8,4422,339,1,344.0083,1
2022,Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,A8,4473,359,1,338.80518,1
2022,Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,M6,4473,352,1,338.80518,1
2022,Dodge,Challenger Widebody,Mid-size,6.4,8,M6,4308,325,0,335.13202,1
2022,Dodge,Challenger Widebody (MDS),Mid-size,6.4,8,A8,4233,305,0,320.47958,0
2022,Dodge,Charger,Full-size,3.6,6,A8,3964,242,0,279.88962,0
2022,Dodge,Charger (MDS),Full-size,6.4,8,A8,4373,305,0,352.75476,1
2022,Dodge,Charger (MDS),Full-size,5.7,8,A8,4286,289,0,301.684,0
2022,Dodge,Charger AWD,Full-size,3.6,6,A8,3964,258,0,279.88962,0
2022,Dodge,Charger SRT Hellcat Widebody,Full-size,6.2,8,A8,4586,368,1,371.7731,1
2022,Dodge,Charger Widebody (MDS),Full-size,6.4,8,A8,4373,305,0,352.75476,1
2022,Jeep,Cherokee,SUV: Small,3.2,6,A9,3710,240,0,280.09006,0
2022,Jeep,Cherokee,SUV: Small,2.4,4,A9,3590,219,0,225.44856,0
2022,Jeep,Cherokee,SUV: Small,2,4,A9,3960,214,0,231.2,0
2022,Jeep,Cherokee 4X4 Active Drive I,SUV: Small,3.2,6,A9,4251,249,0,261.3531,0
2022,Jeep,Cherokee 4X4 Active Drive I,SUV: Small,2.4,4,A9,3876,230,0,243.58492,0
2022,Jeep,Cherokee 4X4 Active Drive I,SUV: Small,2,4,A9,4000,229,0,231.04283,0
2022,Jeep,Cherokee 4X4 Active Drive Lock,SUV: Small,3.2,6,A9,3960,268,0,273.9467,0
2022,Bugatti,Chiron,Two-seater,8,16,AM7,4587,522,0,500.31555,0
2022,Bugatti,Chiron Pur Sport,Two-seater,8,16,AM7,4587,608,0,500.31555,0
2022,Bugatti,Chiron Super Sport,Two-seater,8,16,AM7,4587,608,0,500.31555,0
2022,Toyota,C-HR,Compact,2,4,AS7,3300,189,0,211.46053,0
2022,Honda,Civic Hatchback,Full-size,2,4,M6,2915,186,0,167.63388,0
2022,Honda,Civic Hatchback,Full-size,1.5,4,M6,3047,175,0,170.76227,0
2022,Honda,Civic Hatchback,Full-size,2,4,AV,2939,167,0,185.91125,0
2022,Honda,Civic Hatchback,Full-size,1.5,4,AV7,3133,166,0,175.75598,0
2022,Honda,Civic Sedan,Mid-size,2,4,AV7,2932,165,0,181.98178,0
2022,Honda,Civic Sedan,Mid-size,2,4,AV,2895,162,0,187.6752,0
2022,Honda,Civic Sedan,Mid-size,1.5,4,AV7,3023,162,0,178.0107,0
2022,Honda,Civic Sedan Si,Mid-size,1.5,4,M6,2998,180,0,116.714645,0
2022,Mercedes-Benz,CLA 250 4MATIC Coupe,Compact,2,4,AM7,3483,200,0,182.27016,0
2022,Mercedes-Benz,CLS 450 4MATIC Coupe,Compact,3,6,A9,4255,229,0,258.8098,0
2022,Chevrolet,Colorado,Pickup truck: Small,2.8,4,A6,3968,270,0,267.56827,0
2022,Chevrolet,Colorado,Pickup truck: Small,3.6,6,A8,4050,263,0,308.73654,0
2022,Chevrolet,Colorado,Pickup truck: Small,2.5,4,A6,3968,257,0,245.1604,0
2022,Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6,A8,4480,283,0,282.39832,0
2022,Chevrolet,Colorado 4WD,Pickup truck: Small,2.8,4,A6,4480,283,0,279.45126,0
2022,Chevrolet,Colorado 4WD,Pickup truck: Small,2.5,4,A6,4198,267,0,234.39902,0
2022,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.6,6,A8,4716,329,0,319.357,1
2022,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,2.8,4,A6,4716,326,0,282.55496,0
2022,Jeep,Compass,SUV: Small,2.4,4,A6,3183,218,0,223.16725,0
2022,Jeep,Compass 4X4,SUV: Small,2.4,4,A9,3327,222,0,215.85754,0
2022,Bentley,Continental GT,Subcompact,4,8,AM8,4773,287,0,324.1952,0
2022,Bentley,Continental GT Convertible,Minicompact,4,8,AM8,4294,294,0,306.96823,0
2022,Bentley,Continental GT Convertible Speed,Minicompact,6,12,AM8,5322,395,0,366.9464,0
2022,Bentley,Continental GT Speed,Subcompact,6,12,AM8,5322,379,0,366.9464,0
2022,MINI,Cooper 3 Door,Subcompact,1.5,3,M6,2701,177,0,171.16475,0
2022,MINI,Cooper 3 Door,Subcompact,1.5,3,AM7,2701,170,0,171.16475,0
2022,MINI,Cooper 5 Door,Subcompact,1.5,3,M6,2826,177,0,174.20471,0
2022,MINI,Cooper 5 Door,Subcompact,1.5,3,AM7,2826,170,0,174.20471,0
2022,MINI,Cooper Convertible,Minicompact,1.5,3,M6,3018,177,0,143.3843,0
2022,MINI,Cooper Convertible,Minicompact,1.5,3,AM7,3018,170,0,143.3843,0
2022,MINI,Cooper Countryman ALL4,Mid-size,1.5,3,AS8,3618,211,0,196.6949,0
2022,MINI,Cooper S 3 Door,Subcompact,2,4,M6,2824,211,0,203.70938,0
2022,MINI,Cooper S 3 Door,Subcompact,2,4,AM7,2866,174,0,193.65793,0
2022,MINI,Cooper S 5 Door,Subcompact,2,4,M6,2987,211,0,199.7661,0
2022,MINI,Cooper S 5 Door,Subcompact,2,4,AM7,2826,174,0,203.70938,0
2022,MINI,Cooper S Clubman ALL4,Mid-size,2,4,AS8,3534,207,0,211.0219,0
2022,MINI,Cooper S Convertible,Minicompact,2,4,M6,3120,205,0,208.36638,0
2022,MINI,Cooper S Convertible,Minicompact,2,4,AM7,3018,182,0,197.92175,0
2022,MINI,Cooper S Countryman ALL4,Mid-size,2,4,AS8,3618,212,0,207.29144,0
2022,Toyota,Corolla,Compact,2,4,M6,3055,172,0,189.72502,0
2022,Toyota,Corolla,Compact,1.8,4,AV,3060,166,0,173.06926,0
2022,Toyota,Corolla,Compact,1.8,4,M6,3060,165,0,173.06926,0
2022,Toyota,Corolla,Compact,2,4,AV10,3110,159,0,199.69812,0
2022,Toyota,Corolla Apex Edition,Compact,2,4,AV10,3110,164,0,199.69812,0
2022,Toyota,Corolla Cross,SUV: Small,2,4,AV10,1170,171,0,186.17241,0
2022,Toyota,Corolla Cross AWD,SUV: Small,2,4,AV10,1170,182,0,186.17241,0
2022,Toyota,Corolla Hatchback,Compact,2,4,M6,3060,179,0,189.72502,0
2022,Toyota,Corolla Hatchback,Compact,2,4,AV10,3060,159,0,189.72502,0
2022,Toyota,Corolla Hybrid,Compact,1.8,4,AV,2850,106,0,175.56604,0
2022,Toyota,Corolla XLE,Compact,1.8,4,AV,3045,170,0,173.06926,0
2022,Toyota,Corolla XSE,Compact,2,4,AV10,3060,164,0,189.72502,0
2022,Lincoln,Corsair AWD,SUV: Small,2.3,4,AS8,4532,232,0,238.37715,0
2022,Lincoln,Corsair AWD,SUV: Small,2,4,AS8,3703,229,0,215.99487,0
2022,Chevrolet,Corvette,Two-seater,6.2,8,AS8,3366,297,1,325.7302,1
2022,Subaru,Crosstrek AWD,SUV: Small,2,4,M6,3117,220,0,208.36638,0
2022,Subaru,Crosstrek AWD,SUV: Small,2.5,4,AV8,3265,188,0,259.70514,1
2022,Subaru,Crosstrek AWD,SUV: Small,2,4,AV8,3188,184,0,210.13373,0
2022,Honda,CR-V,SUV: Small,1.5,4,AV,3337,180,0,179.2599,0
2022,Honda,CR-V AWD,SUV: Small,1.5,4,AV,3470,189,0,204.79381,0
2022,Cadillac,CT4,Compact,2.7,4,AS10,3422,221,0,234.1516,0
2022,Cadillac,CT4,Compact,2,4,AS8,3422,206,0,212.89659,0
2022,Cadillac,CT4 AWD,Compact,2.7,4,AS10,3422,233,0,234.1516,0
2022,Cadillac,CT4 AWD,Compact,2,4,AS8,3422,216,0,212.89659,0
2022,Cadillac,CT4-V,Compact,2.7,4,AS10,3616,239,0,265.3938,0
2022,Cadillac,CT4-V AWD,Compact,2.7,4,AS10,3761,244,0,272.3434,0
2022,Cadillac,CT4-V Blackwing,Compact,3.6,6,M6,3860,303,1,277.40842,0
2022,Cadillac,CT4-V Blackwing,Compact,3.6,6,AS10,3860,297,1,277.40842,0
