Model Year,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,weight,con,CO2 Emissions(g/km),SP,PK,SEAT,Lux,L,M,S,Cluster,Predicted_CO2,select
2022,Aston Martin,DB11 V8,Minicompact,4.0,8,A8,3880.0,Aston MartinDB11 V8Minicompact48A8,271,0,0,0,1,0,0,0,2,291.3989,0
2022,Aston Martin,DB11 V12,Minicompact,5.2,12,A8,4134.0,Aston MartinDB11 V12Minicompact5.212A8,324,0,0,0,1,0,0,0,1,324.1731,0
2022,Bentley,Flying Spur,Mid-size,4.0,8,AM8,5137.0,BentleyFlying SpurMid-size48AM8,323,0,0,0,1,0,0,0,2,319.87445,0
2022,Bentley,Flying Spur,Mid-size,6.0,12,AM8,5137.0,BentleyFlying SpurMid-size612AM8,373,0,0,0,1,0,0,0,1,368.67365,0
2022,Mercedes-Benz,Maybach S 580 4MATIC Sedan,Full-size,4.0,8,A9,5236.0,Mercedes-BenzMaybach S 580 4MATIC SedanFull-size48A9,301,0,0,0,1,0,0,0,2,322.53937,0
2022,Aston Martin,DBX V8,SUV: Standard,4.0,8,A9,3880.0,Aston MartinDBX V8SUV: Standard48A9,343,0,0,0,1,0,0,0,2,291.3989,0
2022,Porsche,Panamera Turbo S Executive,Full-size,4.0,8,AM8,4839.0,PorschePanamera Turbo S ExecutiveFull-size48AM8,326,0,0,0,1,0,0,0,2,352.7124,0
2022,Bentley,Bentayga,SUV: Standard,4.0,8,AS8,5324.0,BentleyBentaygaSUV: Standard48AS8,309,0,0,0,1,0,0,0,2,321.45523,0
2022,Porsche,911 Turbo Cabriolet,Minicompact,3.7,6,AM8,3790.0,Porsche911 Turbo CabrioletMinicompact3.76AM8,324,0,0,0,1,0,0,0,3,315.52698,0
2022,Land Rover,Range Rover SVAutobiography LWB,SUV: Standard,5.0,8,AS8,5745.0,Land RoverRange Rover SVAutobiography LWBSUV: Standard58AS8,365,0,0,0,1,0,0,0,4,315.38602,0
2022,Porsche,Cayenne Turbo GT,SUV: Standard,4.0,8,AS8,5000.0,PorscheCayenne Turbo GTSUV: Standard48AS8,345,0,0,0,1,0,0,0,2,301.2169,0
2022,Porsche,Panamera Turbo S,Full-size,4.0,8,AM8,4585.0,PorschePanamera Turbo SFull-size48AM8,326,0,0,0,1,0,0,0,2,329.0873,0
2022,Porsche,Panamera Turbo S ST,Full-size,4.0,8,AM8,4839.0,PorschePanamera Turbo S STFull-size48AM8,326,0,0,0,1,0,0,0,2,352.7124,0
2022,Porsche,911 Turbo,Minicompact,3.7,6,AM8,3790.0,Porsche911 TurboMinicompact3.76AM8,321,0,0,0,1,0,0,0,3,315.52698,0
2022,Porsche,911 GT3,Minicompact,4.0,6,AM7,3164.0,Porsche911 GT3Minicompact46AM7,334,0,0,0,1,0,0,0,3,323.33487,0
2022,Porsche,911 GT3,Minicompact,4.0,6,M6,3164.0,Porsche911 GT3Minicompact46M6,355,0,0,0,1,0,0,0,3,323.33487,0
2022,Porsche,911 GT3 Touring,Minicompact,4.0,6,AM7,3126.0,Porsche911 GT3 TouringMinicompact46AM7,335,0,0,0,1,0,0,0,3,310.98993,0
2022,Porsche,911 GT3 Touring,Minicompact,4.0,6,M6,3126.0,Porsche911 GT3 TouringMinicompact46M6,354,0,0,0,1,0,0,0,3,310.98993,0
2022,Audi,R8 Coupe Performance,Two-seater,5.2,10,AM7,3594.0,AudiR8 Coupe PerformanceTwo-seater5.210AM7,322,0,0,0,1,0,0,0,4,343.2281,0
2022,Audi,R8 Coupe Performance quattro,Two-seater,5.2,10,AM7,3638.0,AudiR8 Coupe Performance quattroTwo-seater5.210AM7,356,0,0,0,1,0,0,0,4,336.0985,0
2022,Audi,R8 Spyder Performance,Two-seater,5.2,10,AM7,3847.0,AudiR8 Spyder PerformanceTwo-seater5.210AM7,322,0,0,0,1,0,0,0,4,323.0158,0
2022,Audi,R8 Spyder Performance quattro,Two-seater,5.2,10,AM7,3913.0,AudiR8 Spyder Performance quattroTwo-seater5.210AM7,356,0,0,0,1,0,0,0,4,333.3729,0
2022,Audi,RS 5 Coupe quattro,Subcompact,2.9,6,AS8,3990.0,AudiRS 5 Coupe quattroSubcompact2.96AS8,267,0,0,0,1,0,0,0,3,305.0968,0
2022,BMW,M760i xDrive Sedan,Full-size,6.6,12,AS8,5159.0,BMWM760i xDrive SedanFull-size6.612AS8,354,0,0,0,1,0,0,0,1,376.8919,0
2022,Porsche,911 Carrera 4 GTS,Minicompact,3.0,6,AM8,3691.0,Porsche911 Carrera 4 GTSMinicompact36AM8,288,0,0,0,1,0,0,0,3,279.93802,0
2022,Porsche,911 Carrera 4 GTS,Minicompact,3.0,6,M7,3691.0,Porsche911 Carrera 4 GTSMinicompact36M7,289,0,0,0,1,0,0,0,3,279.93802,0
2022,Porsche,911 Carrera 4 GTS Cabriolet,Minicompact,3.0,6,AM8,3691.0,Porsche911 Carrera 4 GTS CabrioletMinicompact36AM8,288,0,0,0,1,0,0,0,3,279.93802,0
2022,Porsche,911 Carrera 4 GTS Cabriolet,Minicompact,3.0,6,M7,3691.0,Porsche911 Carrera 4 GTS CabrioletMinicompact36M7,296,0,0,0,1,0,0,0,3,279.93802,0
2022,Porsche,911 Targa 4 GTS,Minicompact,3.0,6,AM8,3737.0,Porsche911 Targa 4 GTSMinicompact36AM8,287,0,0,0,1,0,0,0,3,277.06516,0
2022,Porsche,911 Targa 4 GTS,Minicompact,3.0,6,M7,3737.0,Porsche911 Targa 4 GTSMinicompact36M7,296,0,0,0,1,0,0,0,3,277.06516,0
2022,Maserati,Levante Trofeo,SUV: Standard,3.8,8,A8,5070.0,MaseratiLevante TrofeoSUV: Standard3.88A8,349,0,0,0,1,0,0,0,2,344.66232,0
2022,Land Rover,Range Rover P525 LWB,SUV: Standard,5.0,8,AS8,5254.0,Land RoverRange Rover P525 LWBSUV: Standard58AS8,305,0,0,0,1,0,0,0,4,308.69632,0
2022,Aston Martin,Vantage V8,Two-seater,4.0,8,A8,3715.0,Aston MartinVantage V8Two-seater48A8,270,0,0,0,1,0,0,0,2,304.21036,0
2022,Porsche,911 Carrera GTS,Minicompact,3.0,6,AM8,3587.0,Porsche911 Carrera GTSMinicompact36AM8,289,0,0,0,1,0,0,0,3,289.90427,0
2022,Porsche,911 Carrera GTS,Minicompact,3.0,6,M7,3587.0,Porsche911 Carrera GTSMinicompact36M7,276,0,0,0,1,0,0,0,3,289.90427,0
2022,Porsche,911 Carrera GTS Cabriolet,Minicompact,3.0,6,AM8,3587.0,Porsche911 Carrera GTS CabrioletMinicompact36AM8,289,0,0,0,1,0,0,0,3,289.90427,0
2022,Porsche,911 Carrera GTS Cabriolet,Minicompact,3.0,6,M7,3587.0,Porsche911 Carrera GTS CabrioletMinicompact36M7,278,0,0,0,1,0,0,0,3,289.90427,0
2022,BMW,Alpina B7,Full-size,4.4,8,AS8,4722.0,BMWAlpina B7Full-size4.48AS8,279,0,0,0,1,0,0,0,2,329.42166,0
2022,Maserati,Quattroporte Trofeo,Full-size,3.8,8,A8,4541.0,MaseratiQuattroporte TrofeoFull-size3.88A8,348,0,0,0,1,0,0,0,2,322.9112,0
2022,BMW,M5 Competition,Mid-size,4.4,8,AS8,4090.0,BMWM5 CompetitionMid-size4.48AS8,322,0,0,0,1,0,0,0,2,308.45605,0
2022,BMW,M5 CS,Mid-size,4.4,8,AS8,4114.0,BMWM5 CSMid-size4.48AS8,322,0,0,0,1,0,0,0,2,311.7499,0
2022,BMW,Alpina XB7,SUV: Standard,4.4,8,AS8,5860.0,BMWAlpina XB7SUV: Standard4.48AS8,321,0,0,0,1,0,0,0,2,324.67154,0
2022,BMW,Alpina B8 Gran Coupe,Mid-size,4.4,8,AS8,4831.0,BMWAlpina B8 Gran CoupeMid-size4.48AS8,279,0,0,0,1,0,0,0,2,335.78882,0
2022,BMW,M8 Cabriolet Competition,Subcompact,4.4,8,AS8,4672.0,BMWM8 Cabriolet CompetitionSubcompact4.48AS8,322,0,0,0,1,0,0,0,2,320.90546,0
2022,BMW,M8 Coupe Competition,Subcompact,4.4,8,AS8,4295.0,BMWM8 Coupe CompetitionSubcompact4.48AS8,322,0,0,0,1,0,0,0,2,318.5817,0
2022,Porsche,911 Carrera 4S,Minicompact,3.0,6,AM8,3641.0,Porsche911 Carrera 4SMinicompact36AM8,275,0,0,0,1,0,0,0,3,280.63504,0
2022,Porsche,911 Carrera 4S,Minicompact,3.0,6,M7,3641.0,Porsche911 Carrera 4SMinicompact36M7,275,0,0,0,1,0,0,0,3,280.63504,0
2022,Porsche,911 Targa 4S,Minicompact,3.0,6,AM8,3687.0,Porsche911 Targa 4SMinicompact36AM8,274,0,0,0,1,0,0,0,3,277.1409,0
2022,Porsche,911 Targa 4S,Minicompact,3.0,6,M7,3687.0,Porsche911 Targa 4SMinicompact36M7,278,0,0,0,1,0,0,0,3,277.1409,0
2022,BMW,X6 M Competition,SUV: Standard,4.4,8,AS8,5060.0,BMWX6 M CompetitionSUV: Standard4.48AS8,364,0,0,0,1,0,0,0,2,306.90353,0
2022,Porsche,Cayenne Turbo Coupe,SUV: Standard,4.0,8,AS8,4850.0,PorscheCayenne Turbo CoupeSUV: Standard48AS8,330,0,0,0,1,0,0,0,2,352.7124,0
2022,Porsche,911 Carrera 4S Cabriolet,Minicompact,3.0,6,AM8,3641.0,Porsche911 Carrera 4S CabrioletMinicompact36AM8,273,0,0,0,1,0,0,0,3,280.63504,0
2022,Porsche,911 Carrera 4S Cabriolet,Minicompact,3.0,6,M7,3641.0,Porsche911 Carrera 4S CabrioletMinicompact36M7,281,0,0,0,1,0,0,0,3,280.63504,0
2022,Porsche,Panamera GTS,Full-size,4.0,8,AM8,4561.0,PorschePanamera GTSFull-size48AM8,323,0,0,0,1,0,0,0,2,344.91525,0
2022,Porsche,Panamera GTS ST,Full-size,4.0,8,AM8,4561.0,PorschePanamera GTS STFull-size48AM8,323,0,0,0,1,0,0,0,2,344.91525,0
2022,BMW,M8 Cabriolet,Subcompact,4.4,8,AS8,4464.0,BMWM8 CabrioletSubcompact4.48AS8,322,0,0,0,1,0,0,0,2,318.1491,0
2022,BMW,M8 Coupe,Subcompact,4.4,8,AS8,4431.0,BMWM8 CoupeSubcompact4.48AS8,322,0,0,0,1,0,0,0,2,318.5123,0
2022,BMW,M8 Gran Coupe,Mid-size,4.4,8,AS8,4295.0,BMWM8 Gran CoupeMid-size4.48AS8,322,0,0,0,1,0,0,0,2,318.5817,0
2022,BMW,M8 Gran Coupe Competition,Mid-size,4.4,8,AS8,4480.0,BMWM8 Gran Coupe CompetitionMid-size4.48AS8,322,0,0,0,1,0,0,0,2,315.2921,0
2022,Porsche,Cayenne Turbo,SUV: Standard,4.0,8,AS8,4795.0,PorscheCayenne TurboSUV: Standard48AS8,343,0,0,0,1,0,0,0,2,324.3252,0
2022,Porsche,911 Carrera S Cabriolet,Minicompact,3.0,6,AM8,3537.0,Porsche911 Carrera S CabrioletMinicompact36AM8,273,0,0,0,1,0,0,0,3,289.73557,0
2022,Porsche,911 Carrera S Cabriolet,Minicompact,3.0,6,M7,3537.0,Porsche911 Carrera S CabrioletMinicompact36M7,275,0,0,0,1,0,0,0,3,289.73557,0
2022,Mercedes-Benz,S 580 4MATIC LWB Sedan,Full-size,4.0,8,A9,4771.0,Mercedes-BenzS 580 4MATIC LWB SedanFull-size48A9,285,0,0,0,1,0,0,0,2,324.1952,0
2022,Porsche,911 Carrera 4,Minicompact,3.0,6,AM8,3614.0,Porsche911 Carrera 4Minicompact36AM8,275,0,0,0,1,0,0,0,3,289.44394,0
2022,Porsche,911 Targa 4,Minicompact,3.0,6,AM8,3658.0,Porsche911 Targa 4Minicompact36AM8,275,0,0,0,1,0,0,0,3,282.77304,0
2022,BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS8,4758.0,BMWM850i xDrive CoupeSubcompact4.48AS8,271,0,0,0,1,0,0,0,2,326.62842,0
2022,Audi,RS 7 Sportback quattro,Mid-size,4.0,8,AS8,4938.0,AudiRS 7 Sportback quattroMid-size48AS8,315,0,0,0,1,0,0,0,2,323.21164,0
2022,Porsche,Panamera 4S Executive,Full-size,2.9,6,AM8,4453.0,PorschePanamera 4S ExecutiveFull-size2.96AM8,292,0,0,0,1,0,0,0,3,288.54956,0
2022,Porsche,911 Carrera S,Minicompact,3.0,6,AM8,3537.0,Porsche911 Carrera SMinicompact36AM8,274,0,0,0,1,0,0,0,3,289.73557,0
2022,Porsche,911 Carrera S,Minicompact,3.0,6,M7,3537.0,Porsche911 Carrera SMinicompact36M7,264,0,0,0,1,0,0,0,3,289.73557,0
2022,Audi,S8 Sedan quattro,Full-size,4.0,8,AS8,5302.0,AudiS8 Sedan quattroFull-size48AS8,323,0,0,0,1,0,0,0,2,321.45523,0
2022,Audi,RS 6 Avant quattro,Station wagon: Mid-size,4.0,8,AS8,4960.0,AudiRS 6 Avant quattroStation wagon: Mid-size48AS8,319,0,0,0,1,0,0,0,2,281.11212,0
2022,Land Rover,Range Rover P525,SUV: Standard,5.0,8,AS8,7716.0,Land RoverRange Rover P525SUV: Standard58AS8,305,0,0,0,1,0,0,0,4,316.30023,0
2022,Land Rover,Range Rover Sport P575 SVR,SUV: Standard,5.0,8,AS8,3727.0,Land RoverRange Rover Sport P575 SVRSUV: Standard58AS8,336,0,0,0,1,0,0,0,4,291.13715,0
2022,Maserati,Levante Modena,SUV: Standard,3.0,6,A8,4649.0,MaseratiLevante ModenaSUV: Standard36A8,308,0,0,0,1,0,0,0,3,323.88763,0
2022,Mercedes-Benz,S 500 4MATIC SWB Sedan,Full-size,3.0,6,A9,4553.0,Mercedes-BenzS 500 4MATIC SWB SedanFull-size36A9,231,0,0,0,1,0,0,0,3,297.27036,0
2022,Audi,RS Q8 quattro,SUV: Standard,4.0,8,AS8,5490.0,AudiRS Q8 quattroSUV: Standard48AS8,360,0,0,0,1,0,0,0,2,330.22443,0
2022,Lexus,LC 500 Convertible,Minicompact,5.0,8,AS10,4540.0,LexusLC 500 ConvertibleMinicompact58AS10,304,0,0,0,1,0,0,0,4,312.38544,0
2022,Lexus,LS 500h AWD,Mid-size,3.5,6,AV10,5302.0,LexusLS 500h AWDMid-size3.56AV10,216,0,0,0,1,0,0,0,3,319.7912,0
2022,Porsche,Cayenne GTS Coupe,SUV: Standard,4.0,8,AS8,4932.0,PorscheCayenne GTS CoupeSUV: Standard48AS8,326,0,0,0,1,0,0,0,2,323.21164,0
2022,Land Rover,Defender 110 5.0L V8,SUV: Standard,5.0,8,AS8,5735.0,Land RoverDefender 110 5.0L V8SUV: Standard58AS8,350,0,0,0,1,0,0,0,4,337.87302,0
2022,Maserati,Ghibli Trofeo,Mid-size,3.8,8,A8,4453.0,MaseratiGhibli TrofeoMid-size3.88A8,348,0,0,0,1,0,0,0,2,326.53232,0
2022,Maserati,Quattroporte Modena AWD,Full-size,3.0,6,A8,4233.0,MaseratiQuattroporte Modena AWDFull-size36A8,293,0,0,0,1,0,0,0,3,297.50525,0
2022,BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,4650.0,BMWM850i xDrive CabrioletSubcompact4.48AS8,279,0,0,0,1,0,0,0,2,313.26138,0
2022,Porsche,Cayenne,SUV: Standard,3.0,6,AS8,4582.0,PorscheCayenneSUV: Standard36AS8,289,0,0,0,1,0,0,0,3,309.1764,0
2022,Porsche,Cayenne GTS,SUV: Standard,4.0,8,AS8,4728.0,PorscheCayenne GTSSUV: Standard48AS8,331,0,0,0,1,0,0,0,2,344.99142,0
2022,Porsche,911 Carrera 4 Cabriolet,Minicompact,3.0,6,AM8,3614.0,Porsche911 Carrera 4 CabrioletMinicompact36AM8,275,0,0,0,1,0,0,0,3,289.44394,0
2022,Land Rover,Defender 90 5.0L V8,SUV: Standard,5.0,8,AS8,5445.0,Land RoverDefender 90 5.0L V8SUV: Standard58AS8,339,0,0,0,1,0,0,0,4,337.01624,0
2022,Mercedes-Benz,AMG GT 53 4MATIC+ Coupe,Compact,3.0,6,A9,4553.0,Mercedes-BenzAMG GT 53 4MATIC+ CoupeCompact36A9,258,0,0,0,1,0,0,0,3,297.27036,0
2022,Porsche,Panamera 4S,Full-size,2.9,6,AM8,4336.0,PorschePanamera 4SFull-size2.96AM8,276,0,0,0,1,0,0,0,3,284.57315,0
2022,Porsche,Panamera 4S ST,Full-size,2.9,6,AM8,4336.0,PorschePanamera 4S STFull-size2.96AM8,292,0,0,0,1,0,0,0,3,284.57315,0
2022,BMW,X5 M Competition,SUV: Standard,4.4,8,AS8,5455.0,BMWX5 M CompetitionSUV: Standard4.48AS8,364,0,0,0,1,0,0,0,2,329.7567,0
2022,Porsche,Panamera 4,Full-size,2.9,6,AM8,4301.0,PorschePanamera 4Full-size2.96AM8,274,0,0,0,1,0,0,0,3,294.59363,0
2022,Jaguar,F-TYPE R Convertible AWD,Two-seater,5.0,8,AS8,3887.0,JaguarF-TYPE R Convertible AWDTwo-seater58AS8,299,0,0,0,1,0,0,0,4,291.8453,0
2022,Maserati,Quattroporte Modena,Full-size,3.0,6,A8,4233.0,MaseratiQuattroporte ModenaFull-size36A8,281,0,0,0,1,0,0,0,3,297.50525,0
2022,Cadillac,Escalade 4WD,SUV: Standard,3.0,6,A10,5370.0,CadillacEscalade 4WDSUV: Standard36A10,281,0,0,0,1,0,0,0,3,292.62524,0
2022,Cadillac,Escalade 4WD,SUV: Standard,6.2,8,A10,5822.0,CadillacEscalade 4WDSUV: Standard6.28A10,345,0,0,0,1,0,0,0,4,330.43414,0
2022,Land Rover,Range Rover P400,SUV: Standard,3.0,6,AS8,4974.0,Land RoverRange Rover P400SUV: Standard36AS8,279,0,0,0,1,0,0,0,3,288.8736,0
2022,BMW,M5 Sedan,Mid-size,4.4,8,AS8,4345.0,BMWM5 SedanMid-size4.48AS8,322,0,0,0,1,0,0,0,2,324.4023,0
2022,Jaguar,F-TYPE R Coupe AWD,Two-seater,5.0,8,AS8,3843.0,JaguarF-TYPE R Coupe AWDTwo-seater58AS8,299,0,0,0,1,0,0,0,4,296.61694,0
2022,BMW,750i xDrive Sedan,Full-size,4.4,8,AS8,4722.0,BMW750i xDrive SedanFull-size4.48AS8,279,0,0,0,1,0,0,0,2,329.42166,0
2022,BMW,750Li xDrive Sedan,Full-size,4.4,8,AS8,4722.0,BMW750Li xDrive SedanFull-size4.48AS8,279,0,0,0,1,0,0,0,2,329.42166,0
2022,Porsche,Panamera,Full-size,2.9,6,AM8,4188.0,PorschePanameraFull-size2.96AM8,274,0,0,0,1,0,0,0,3,296.92172,0
2022,Lexus,LC 500,Subcompact,5.0,8,AS10,4540.0,LexusLC 500Subcompact58AS10,294,0,0,0,1,0,0,0,4,312.38544,0
2022,Porsche,718 Cayman,Two-seater,2.0,4,AM7,2943.0,Porsche718 CaymanTwo-seater24AM7,233,0,0,0,1,0,0,0,0,190.97096,0
2022,Porsche,718 Cayman,Two-seater,2.0,4,M6,2943.0,Porsche718 CaymanTwo-seater24M6,245,0,0,0,1,0,0,0,0,190.97096,0
2022,Porsche,718 Cayman GT4,Two-seater,4.0,6,AM7,3208.0,Porsche718 Cayman GT4Two-seater46AM7,271,0,0,0,1,0,0,0,3,322.68582,0
2022,Porsche,718 Cayman GT4,Two-seater,4.0,6,M6,3208.0,Porsche718 Cayman GT4Two-seater46M6,286,0,0,0,1,0,0,0,3,322.68582,0
2022,Porsche,911 Carrera,Minicompact,3.0,6,AM8,3508.0,Porsche911 CarreraMinicompact36AM8,275,0,0,0,1,0,0,0,3,286.55215,0
2022,Porsche,911 Carrera Cabriolet,Minicompact,3.0,6,AM8,3508.0,Porsche911 Carrera CabrioletMinicompact36AM8,275,0,0,0,1,0,0,0,3,286.55215,0
2022,Lexus,RC F,Subcompact,5.0,8,AS8,3902.0,LexusRC FSubcompact58AS8,285,0,0,0,1,0,0,0,4,312.4884,0
2022,Lexus,LX 600,SUV: Standard,3.4,6,AS10,5665.0,LexusLX 600SUV: Standard3.46AS10,298,0,0,0,1,0,0,0,3,315.70596,0
2022,Porsche,718 Boxster,Two-seater,2.0,4,AM7,3122.0,Porsche718 BoxsterTwo-seater24AM7,233,0,0,0,1,0,0,0,0,208.36638,0
2022,Porsche,718 Boxster,Two-seater,2.0,4,M6,3122.0,Porsche718 BoxsterTwo-seater24M6,245,0,0,0,1,0,0,0,0,208.36638,0
2022,BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8,AS8,4758.0,BMWM850i xDrive Gran CoupeMid-size4.48AS8,279,0,0,0,0,1,0,0,2,326.62842,1
2022,BMW,X7 M50i,SUV: Standard,4.4,8,AS8,5661.0,BMWX7 M50iSUV: Standard4.48AS8,321,0,0,0,0,1,0,0,2,330.3504,1
2022,Porsche,Panamera 4 Executive,Full-size,2.9,6,AM8,4453.0,PorschePanamera 4 ExecutiveFull-size2.96AM8,289,0,0,0,1,0,0,0,3,288.54956,0
2022,Lexus,LC 500h,Subcompact,3.5,6,AV10,4420.0,LexusLC 500hSubcompact3.56AV10,189,0,0,0,0,0,1,0,3,297.10532,1
2022,Porsche,718 Spyder,Two-seater,4.0,6,AM7,3205.0,Porsche718 SpyderTwo-seater46AM7,271,0,0,0,1,0,0,0,3,305.61893,0
2022,Porsche,718 Spyder,Two-seater,4.0,6,M6,3205.0,Porsche718 SpyderTwo-seater46M6,286,0,0,0,1,0,0,0,3,305.61893,0
2022,Audi,A5 Coupe 45 TFSI quattro,Subcompact,2.0,4,AM7,3759.0,AudiA5 Coupe 45 TFSI quattroSubcompact24AM7,205,0,0,0,0,0,1,0,0,217.14705,0
2022,Jeep,Grand Wagoneer 4X4,SUV: Standard,6.4,8,A8,6420.0,JeepGrand Wagoneer 4X4SUV: Standard6.48A8,374,0,0,0,0,1,0,0,4,369.87198,1
2022,Maserati,Quattroporte GT,Full-size,3.0,6,A8,3880.0,MaseratiQuattroporte GTFull-size36A8,281,0,0,0,1,0,0,0,3,279.92706,0
2022,Porsche,Panamera 4 ST,Full-size,2.9,6,AM8,4403.0,PorschePanamera 4 STFull-size2.96AM8,274,0,0,0,1,0,0,0,3,298.26126,0
2022,Maserati,Levante Modena V8,SUV: Standard,3.8,8,A8,5070.0,MaseratiLevante Modena V8SUV: Standard3.88A8,349,0,0,0,1,0,0,0,2,344.66232,0
2022,Mercedes-Benz,AMG E 53 4MATIC+ Cabriolet,Subcompact,3.0,6,A9,4566.0,Mercedes-BenzAMG E 53 4MATIC+ CabrioletSubcompact36A9,247,0,0,0,0,1,0,0,3,302.4257,0
